bait,prey,distance,stage,pvalue
EXOSC1,EXOSC4,0.185809483839213,G1,0.0262599173091965
EXOSC1,EXOSC5,0.154230065470605,G1,0.0138190486832793
EXOSC4,EXOSC5,0.192526450543387,G1,0.0302454650426491
EXOSC1,EXOSC6,0.237347300341066,G1,0.0616456214847096
EXOSC4,EXOSC6,0.544942131897643,G1,0.470927850411592
EXOSC5,EXOSC6,0.227150454156716,G1,0.0532089246470742
EXOSC1,EXOSC8,0.258704957350552,G1,0.0816106082616307
EXOSC4,EXOSC8,0.796689990717448,G1,0.713785525384587
EXOSC5,EXOSC8,0.237450578152654,G1,0.061757365813685
EXOSC6,EXOSC8,0.345873926243465,G1,0.182068760010429
EXOSC1,EXOSC9,0.381591780206283,G1,0.231180392595076
EXOSC4,EXOSC9,0.906481627795006,G1,0.769285208775655
EXOSC5,EXOSC9,0.362172833164482,G1,0.203113941967445
EXOSC6,EXOSC9,0.357684556774431,G1,0.197228740641412
EXOSC8,EXOSC9,0.455370663305588,G1,0.339907624688047
EXOSC1,EXOSC2,0.184794993665866,G1,0.0257943159384662
EXOSC4,EXOSC2,0.309361557969296,G1,0.136067344582262
EXOSC5,EXOSC2,0.178711170340785,G1,0.0230379558237419
EXOSC6,EXOSC2,0.314782717982418,G1,0.142902372704585
EXOSC8,EXOSC2,0.564238750214317,G1,0.496461429582449
EXOSC9,EXOSC2,0.494675874463637,G1,0.398200916303498
EXOSC1,EXOSC7,0.150213525476326,G1,0.0127388535031847
EXOSC4,EXOSC7,0.646802784410813,G1,0.59233806384326
EXOSC5,EXOSC7,0.168598079964823,G1,0.0188661675419972
EXOSC6,EXOSC7,0.232836882296258,G1,0.0579394345736954
EXOSC8,EXOSC7,0.458756478287916,G1,0.344563638395351
EXOSC9,EXOSC7,0.31655795534873,G1,0.144988266845458
EXOSC2,EXOSC7,0.294148693555856,G1,0.119044958468358
EXOSC1,DIS3,0.465313199193801,G1,0.354192274742057
EXOSC4,DIS3,0.497500415589425,G1,0.402316832420755
EXOSC5,DIS3,0.531673227065489,G1,0.45215480314374
EXOSC6,DIS3,0.662601192894331,G1,0.608187134502924
EXOSC8,DIS3,0.639488739893965,G1,0.584199351882892
EXOSC9,DIS3,0.624456416109227,G1,0.568871754758446
EXOSC2,DIS3,0.559628953127528,G1,0.49072522069505
EXOSC7,DIS3,0.525582540636811,G1,0.443978843073714
EXOSC1,EXOSC10,2.36294400789253,G1,0.928781614333073
EXOSC4,EXOSC10,2.30717049308024,G1,0.923175773829478
EXOSC5,EXOSC10,2.41885866979407,G1,0.935300033523299
EXOSC6,EXOSC10,2.50761585180236,G1,0.94597161694044
EXOSC8,EXOSC10,2.41533527360158,G1,0.934890304317056
EXOSC9,EXOSC10,2.68903893627991,G1,0.970033895779789
EXOSC2,EXOSC10,2.44374585203051,G1,0.938037769583194
EXOSC7,EXOSC10,2.48081055719552,G1,0.942619287071181
DIS3,EXOSC10,2.04044486726331,G1,0.906134763660744
EXOSC1,EXOSC4,0.170158151023012,earlyS,0.177505866577271
EXOSC1,EXOSC5,0.232849879220463,earlyS,0.434685439713934
EXOSC4,EXOSC5,0.167708103762121,earlyS,0.169702387603829
EXOSC1,EXOSC6,0.218452690398294,earlyS,0.373337803106492
EXOSC4,EXOSC6,0.250267055821071,earlyS,0.50808283979588
EXOSC5,EXOSC6,0.191829725624997,earlyS,0.260010429470704
EXOSC1,EXOSC8,0.246105445314042,earlyS,0.490874213133684
EXOSC4,EXOSC8,0.197164038279575,earlyS,0.282880768800983
EXOSC5,EXOSC8,0.120900895139446,earlyS,0.0530785562632696
EXOSC6,EXOSC8,0.298780210333544,earlyS,0.674544641859426
EXOSC1,EXOSC9,0.194600141819796,earlyS,0.271669087793795
EXOSC4,EXOSC9,0.273848673002077,earlyS,0.597608671359928
EXOSC5,EXOSC9,0.225847306423624,earlyS,0.405073192535479
EXOSC6,EXOSC9,0.300397042166003,earlyS,0.67944276827951
EXOSC8,EXOSC9,0.201131806460481,earlyS,0.298785711625135
EXOSC1,EXOSC2,0.29442187081778,earlyS,0.661712668082095
EXOSC4,EXOSC2,0.211910769483224,earlyS,0.344638134614668
EXOSC5,EXOSC2,0.242841161027998,earlyS,0.476515066860357
EXOSC6,EXOSC2,0.223889765870849,earlyS,0.396413007039893
EXOSC8,EXOSC2,0.249572723080583,earlyS,0.505382351845644
EXOSC9,EXOSC2,0.232169803840665,earlyS,0.432208440421649
EXOSC1,EXOSC7,0.207460708242031,earlyS,0.325920959511305
EXOSC4,EXOSC7,0.297262074503766,earlyS,0.670074868700413
EXOSC5,EXOSC7,0.18000620251931,earlyS,0.214530487577755
EXOSC6,EXOSC7,0.460055648292061,earlyS,0.923585503035721
EXOSC8,EXOSC7,0.235367450823522,earlyS,0.445804000446977
EXOSC9,EXOSC7,0.270638015780417,earlyS,0.586210749804447
EXOSC2,EXOSC7,0.334122262723136,earlyS,0.763753864491377
EXOSC1,DIS3,0.0935965370366128,earlyS,0.0207099489700898
EXOSC4,DIS3,0.156714354285608,earlyS,0.135676239430849
