bait,prey,distance,stage
PSMA1,PSMA2,0.175308274887366,G1
PSMA1,PSMA3,0.255914839586405,G1
PSMA2,PSMA3,0.256860673379314,G1
PSMA1,PSMA4,0.404778999809604,G1
PSMA2,PSMA4,0.402860807095656,G1
PSMA3,PSMA4,0.436063258609825,G1
PSMA1,PSMA5,0.379537572371427,G1
PSMA2,PSMA5,0.355029535884301,G1
PSMA3,PSMA5,0.461788006614327,G1
PSMA4,PSMA5,0.313040928816927,G1
PSMA1,PSMA6,0.267988623214445,G1
PSMA2,PSMA6,0.268976134389287,G1
PSMA3,PSMA6,0.315883883979701,G1
PSMA4,PSMA6,0.475146617876384,G1
PSMA5,PSMA6,0.525822214578824,G1
PSMA1,PSMA7,0.216918829246593,G1
PSMA2,PSMA7,0.179401804241029,G1
PSMA3,PSMA7,0.260272590131396,G1
PSMA4,PSMA7,0.267566179799854,G1
PSMA5,PSMA7,0.297290153650496,G1
PSMA6,PSMA7,0.298890885478136,G1
PSMA1,PSMB1,0.159293261149658,G1
PSMA2,PSMB1,0.179079610209952,G1
PSMA3,PSMB1,0.148898311059254,G1
PSMA4,PSMB1,0.41694515627216,G1
PSMA5,PSMB1,0.440945583241718,G1
PSMA6,PSMB1,0.190545599744092,G1
PSMA7,PSMB1,0.216370594530091,G1
PSMA1,PSMB10,1.13527319260989,G1
PSMA2,PSMB10,1.13886690706479,G1
PSMA3,PSMB10,1.00475186893573,G1
PSMA4,PSMB10,1.11186858423468,G1
PSMA5,PSMB10,1.27882502006763,G1
PSMA6,PSMB10,0.893781236747314,G1
PSMA7,PSMB10,1.07766868158541,G1
PSMB1,PSMB10,1.00472341946911,G1
PSMA1,PSMB2,0.258170884254562,G1
PSMA2,PSMB2,0.350055934218849,G1
PSMA3,PSMB2,0.313952489288858,G1
PSMA4,PSMB2,0.363430707091376,G1
PSMA5,PSMB2,0.397514770532301,G1
PSMA6,PSMB2,0.449501143194107,G1
PSMA7,PSMB2,0.313567784052834,G1
PSMB1,PSMB2,0.313213130912113,G1
PSMB10,PSMB2,1.21757213970521,G1
PSMA1,PSMB3,0.294155360421072,G1
PSMA2,PSMB3,0.282659724677567,G1
PSMA3,PSMB3,0.294704227880542,G1
PSMA4,PSMB3,0.237071939356206,G1
PSMA5,PSMB3,0.372832530889438,G1
PSMA6,PSMB3,0.280993182805151,G1
PSMA7,PSMB3,0.184137141547062,G1
PSMB1,PSMB3,0.249976604289801,G1
PSMB10,PSMB3,0.935933804927049,G1
PSMB2,PSMB3,0.377726458858859,G1
PSMA1,PSMB4,0.224074897021616,G1
PSMA2,PSMB4,0.205916117297844,G1
PSMA3,PSMB4,0.181295038134915,G1
PSMA4,PSMB4,0.437185156298531,G1
PSMA5,PSMB4,0.499098819615183,G1
PSMA6,PSMB4,0.179510918271783,G1
PSMA7,PSMB4,0.249241336410247,G1
PSMB1,PSMB4,0.107464320264649,G1
PSMB10,PSMB4,0.963628748146371,G1
PSMB2,PSMB4,0.357419344815427,G1
PSMB3,PSMB4,0.262200832929798,G1
PSMA1,PSMB5,0.262865747204355,G1
PSMA2,PSMB5,0.325905777876577,G1
PSMA3,PSMB5,0.308512550124202,G1
PSMA4,PSMB5,0.479409297862134,G1
PSMA5,PSMB5,0.57344891634484,G1
PSMA6,PSMB5,0.17631206068039,G1
PSMA7,PSMB5,0.353735516821403,G1
PSMB1,PSMB5,0.205688920934047,G1
PSMB10,PSMB5,0.903847409570661,G1
PSMB2,PSMB5,0.38331265634583,G1
PSMB3,PSMB5,0.316077429037042,G1
PSMB4,PSMB5,0.180399948359025,G1
PSMA1,PSMB6,0.2012054570959,G1
PSMA2,PSMB6,0.195690720807427,G1
PSMA3,PSMB6,0.270328310622207,G1
PSMA4,PSMB6,0.448592247820509,G1
PSMA5,PSMB6,0.491112735156653,G1
PSMA6,PSMB6,0.151204242575832,G1
PSMA7,PSMB6,0.267421099534155,G1
PSMB1,PSMB6,0.133926091727825,G1
PSMB10,PSMB6,1.00116327684159,G1
PSMB2,PSMB6,0.382332594936724,G1
PSMB3,PSMB6,0.279803219811907,G1
PSMB4,PSMB6,0.145561438969578,G1
PSMB5,PSMB6,0.182874269322714,G1
PSMA1,PSMB7,0.250524337943669,G1
PSMA2,PSMB7,0.263453072299808,G1
PSMA3,PSMB7,0.224211483669708,G1
PSMA4,PSMB7,0.404410251132488,G1
PSMA5,PSMB7,0.476676750888708,G1
PSMA6,PSMB7,0.129998396538204,G1
PSMA7,PSMB7,0.242208290180234,G1
PSMB1,PSMB7,0.136207819494948,G1
PSMB10,PSMB7,0.878355806973617,G1
PSMB2,PSMB7,0.378482123911907,G1
PSMB3,PSMB7,0.209710938971614,G1
PSMB4,PSMB7,0.149796375117669,G1
PSMB5,PSMB7,0.19150765978908,G1
PSMB6,PSMB7,0.178307520235765,G1
PSMA1,PSMB9,0.515909764654718,G1
PSMA2,PSMB9,0.562593491741973,G1
PSMA3,PSMB9,0.301577877268443,G1
PSMA4,PSMB9,0.681347239111791,G1
PSMA5,PSMB9,0.707023162919539,G1
PSMA6,PSMB9,0.491332273598145,G1
PSMA7,PSMB9,0.506239396307517,G1
PSMB1,PSMB9,0.348328815014299,G1
PSMB10,PSMB9,0.704506366109898,G1
PSMB2,PSMB9,0.567931401395379,G1
PSMB3,PSMB9,0.417689728223155,G1
PSMB4,PSMB9,0.409141213974132,G1
PSMB5,PSMB9,0.42984108577464,G1
PSMB6,PSMB9,0.457696790973361,G1
PSMB7,PSMB9,0.319546471606872,G1
PSMA1,PSMC1,0.69774401722854,G1
PSMA2,PSMC1,0.660242484960529,G1
PSMA3,PSMC1,0.896609110277975,G1
PSMA4,PSMC1,0.728128371675379,G1
PSMA5,PSMC1,0.665506511464286,G1
PSMA6,PSMC1,0.734271235992486,G1
PSMA7,PSMC1,0.687440796146336,G1
PSMB1,PSMC1,0.787074078832793,G1
PSMB10,PSMC1,1.44028368948234,G1
PSMB2,PSMC1,0.825109790316092,G1
PSMB3,PSMC1,0.732804199893665,G1
PSMB4,PSMC1,0.79235277556932,G1
PSMB5,PSMC1,0.803551263626255,G1
PSMB6,PSMC1,0.717937834068699,G1
PSMB7,PSMC1,0.797496756627013,G1
PSMB9,PSMC1,1.43191974729771,G1
PSMA1,PSMC2,0.637138709402514,G1
PSMA2,PSMC2,0.536454794121268,G1
PSMA3,PSMC2,0.732333955158872,G1
PSMA4,PSMC2,0.715965038359553,G1
PSMA5,PSMC2,0.60902465966802,G1
PSMA6,PSMC2,0.723272004809077,G1
PSMA7,PSMC2,0.61553240189714,G1
PSMB1,PSMC2,0.701609428058919,G1
PSMB10,PSMC2,1.51577884385928,G1
PSMB2,PSMC2,0.706090082540935,G1
PSMB3,PSMC2,0.714567331587628,G1
PSMB4,PSMC2,0.659924461046685,G1
PSMB5,PSMC2,0.731840626978197,G1
PSMB6,PSMC2,0.66494971222299,G1
PSMB7,PSMC2,0.767936493575766,G1
PSMB9,PSMC2,1.45859892222955,G1
