bait,prey,t,corr
EXOSC1,EXOSC10,earlyS.median,0.251429646670567
EXOSC1,EXOSC4,earlyS.median,-0.218734240752122
EXOSC1,EXOSC5,earlyS.median,0.119999342809128
EXOSC1,EXOSC6,earlyS.median,0.231900711255826
EXOSC1,EXOSC8,earlyS.median,-0.1671283767566
EXOSC1,EXOSC9,earlyS.median,0.0584774018135674
EXOSC1,EXOSC2,earlyS.median,-0.0633572298675183
EXOSC1,EXOSC7,earlyS.median,-0.296148602683274
EXOSC1,DIS3,earlyS.median,0.762386529663865
EXOSC1,DIS3L2,earlyS.median,0.163312459208732
EXOSC1,EXOSC10,earlyS.median,0.251429646670567
EXOSC10,EXOSC4,earlyS.median,0.241702059879022
EXOSC10,EXOSC5,earlyS.median,0.80441102436944
EXOSC10,EXOSC6,earlyS.median,-0.286362584608828
EXOSC10,EXOSC8,earlyS.median,-0.673297742038793
EXOSC10,EXOSC9,earlyS.median,-0.39821669769075
EXOSC10,EXOSC2,earlyS.median,-0.279124077033989
EXOSC10,EXOSC7,earlyS.median,-0.0462857440291435
EXOSC10,DIS3,earlyS.median,0.163903882197414
EXOSC10,DIS3L2,earlyS.median,0.265028353699008
EXOSC10,EXOSC10,earlyS.median,1
EXOSC4,EXOSC5,earlyS.median,-0.282946076489721
EXOSC4,EXOSC6,earlyS.median,-0.0798351019190403
EXOSC4,EXOSC8,earlyS.median,-0.387939457951375
EXOSC4,EXOSC9,earlyS.median,-0.275504528348681
EXOSC4,EXOSC2,earlyS.median,-0.300065472069776
EXOSC4,EXOSC7,earlyS.median,-0.16156163904466
EXOSC4,DIS3,earlyS.median,0.247241059566578
EXOSC4,DIS3L2,earlyS.median,0.12973796735829
EXOSC4,EXOSC10,earlyS.median,0.241702059879022
EXOSC5,EXOSC6,earlyS.median,-0.109310456851297
EXOSC5,EXOSC8,earlyS.median,0.405361183202869
EXOSC5,EXOSC9,earlyS.median,-0.654628762749379
EXOSC5,EXOSC2,earlyS.median,-0.600627790976409
EXOSC5,EXOSC7,earlyS.median,-0.364645849671659
EXOSC5,DIS3,earlyS.median,-0.487360161105326
EXOSC5,DIS3L2,earlyS.median,0.533678587643024
EXOSC5,EXOSC10,earlyS.median,0.80441102436944
EXOSC6,EXOSC8,earlyS.median,-0.361538442192144
EXOSC6,EXOSC9,earlyS.median,-0.435339391238905
EXOSC6,EXOSC2,earlyS.median,0.595214442829884
EXOSC6,EXOSC7,earlyS.median,-0.740016958222552
EXOSC6,DIS3,earlyS.median,-0.23569993843819
EXOSC6,DIS3L2,earlyS.median,-0.553151248382783
EXOSC6,EXOSC10,earlyS.median,-0.286362584608828
EXOSC8,EXOSC9,earlyS.median,0.023727028333588
EXOSC8,EXOSC2,earlyS.median,-0.383476921923126
EXOSC8,EXOSC7,earlyS.median,0.483372597026329
EXOSC8,DIS3,earlyS.median,-0.244743145917468
EXOSC8,DIS3L2,earlyS.median,0.172131368775965
EXOSC8,EXOSC10,earlyS.median,-0.673297742038793
EXOSC9,EXOSC2,earlyS.median,0.435963177035329
EXOSC9,EXOSC7,earlyS.median,0.479354956034887
EXOSC9,DIS3,earlyS.median,0.262279808365149
EXOSC9,DIS3L2,earlyS.median,0.0604302349815612
