bait,prey,t,corr
PSMA1,PSMA2,earlyS.median,0.294546270147175
PSMA1,PSMA3,earlyS.median,-0.361960547801181
PSMA1,PSMA4,earlyS.median,0.485272544228454
PSMA1,PSMA5,earlyS.median,0.563136811396092
PSMA1,PSMA6,earlyS.median,-0.393142008986297
PSMA1,PSMA7,earlyS.median,0.32927778771368
PSMA1,PSMB1,earlyS.median,0.562450424810119
PSMA1,PSMB10,earlyS.median,-0.010520821925963
PSMA1,PSMB2,earlyS.median,0.573243895874912
PSMA1,PSMB3,earlyS.median,0.466762562505114
PSMA1,PSMB4,earlyS.median,0.754124547072767
PSMA1,PSMB5,earlyS.median,0.662897491715227
PSMA1,PSMB6,earlyS.median,0.0829752294370606
PSMA1,PSMB7,earlyS.median,0.723971335666997
PSMA1,PSMB9,earlyS.median,0.578791643075581
PSMA1,PSMC1,earlyS.median,0.240019535970829
PSMA1,PSMC2,earlyS.median,0.522474059422876
PSMA1,PSMC3,earlyS.median,0.659298982055311
PSMA1,PSMC4,earlyS.median,0.179028932258137
PSMA1,PSMC5,earlyS.median,0.548551503458913
PSMA1,PSMC6,earlyS.median,0.190880473206249
PSMA1,PSMD1,earlyS.median,0.042850694547921
PSMA1,PSMD10,earlyS.median,0.113703006741629
PSMA1,PSMD11,earlyS.median,0.346678515658126
PSMA1,PSMD12,earlyS.median,0.0792781518972947
PSMA1,PSMD13,earlyS.median,0.0876556455118679
PSMA1,PSMD14,earlyS.median,0.185421487079375
PSMA1,PSMD2,earlyS.median,0.502366842355534
PSMA1,PSMD3,earlyS.median,0.0651099124389894
PSMA1,PSMD4,earlyS.median,0.191918159559025
PSMA1,PSMD5,earlyS.median,0.0686910419074418
PSMA1,PSMD6,earlyS.median,0.389696384457895
PSMA1,PSMD7,earlyS.median,0.110636710818871
PSMA1,PSMD8,earlyS.median,0.274265287415819
PSMA1,PSMD9,earlyS.median,0.471484398447049
PSMA1,PSME1,earlyS.median,0.579702991295047
PSMA1,PSME2,earlyS.median,0.763683491096297
PSMA1,PSME3,earlyS.median,0.585391462075857
PSMA1,PSME4,earlyS.median,0.106460849904631
PSMA1,PSMG1,earlyS.median,0.106779508728784
PSMA1,PSMG2,earlyS.median,-0.292505892353822
PSMA1,PSMG3,earlyS.median,0.15785477351969
PSMA1,PSMG4,earlyS.median,0.351375155778081
PSMA2,PSMA3,earlyS.median,0.417256904939625
PSMA2,PSMA4,earlyS.median,0.272714996095687
PSMA2,PSMA5,earlyS.median,0.373490923841358
PSMA2,PSMA6,earlyS.median,-0.163117052022239
PSMA2,PSMA7,earlyS.median,0.566938725885531
PSMA2,PSMB1,earlyS.median,-0.00661601128115667
PSMA2,PSMB10,earlyS.median,-0.18801406364695
PSMA2,PSMB2,earlyS.median,0.526054464027659
PSMA2,PSMB3,earlyS.median,0.456926858726925
PSMA2,PSMB4,earlyS.median,0.235108957940456
PSMA2,PSMB5,earlyS.median,-0.174381924893777
PSMA2,PSMB6,earlyS.median,-0.0493961678037908
PSMA2,PSMB7,earlyS.median,0.00202596346385552
PSMA2,PSMB9,earlyS.median,0.25855301729004
PSMA2,PSMC1,earlyS.median,0.0903742872918835
PSMA2,PSMC2,earlyS.median,0.387670361054456
PSMA2,PSMC3,earlyS.median,0.354145269668027
PSMA2,PSMC4,earlyS.median,0.156129075865504
PSMA2,PSMC5,earlyS.median,0.427777505180669
PSMA2,PSMC6,earlyS.median,0.057656067261731
PSMA2,PSMD1,earlyS.median,0.510639643288994
PSMA2,PSMD10,earlyS.median,0.0639230461989628
PSMA2,PSMD11,earlyS.median,0.601874515142281
PSMA2,PSMD12,earlyS.median,0.452975621052443
PSMA2,PSMD13,earlyS.median,0.280513756365865
PSMA2,PSMD14,earlyS.median,0.175540378853551
PSMA2,PSMD2,earlyS.median,0.186621912233871
PSMA2,PSMD3,earlyS.median,0.473079725156894
PSMA2,PSMD4,earlyS.median,0.472615420055638
PSMA2,PSMD5,earlyS.median,-0.337035819663439
PSMA2,PSMD6,earlyS.median,0.649453150819003
PSMA2,PSMD7,earlyS.median,0.720336857316957
PSMA2,PSMD8,earlyS.median,0.449992019298873
PSMA2,PSMD9,earlyS.median,0.319260972766563
PSMA2,PSME1,earlyS.median,-0.0384130164240958
PSMA2,PSME2,earlyS.median,-0.0359528222912598
PSMA2,PSME3,earlyS.median,0.229066898891854
PSMA2,PSME4,earlyS.median,-0.0200502407718437
PSMA2,PSMG1,earlyS.median,-0.0968959407715077
PSMA2,PSMG2,earlyS.median,-0.0280503188333172
PSMA2,PSMG3,earlyS.median,0.325414132398284
PSMA2,PSMG4,earlyS.median,0.561479878134089
PSMA3,PSMA4,earlyS.median,-0.217276017055595
PSMA3,PSMA5,earlyS.median,-0.254885058095839
PSMA3,PSMA6,earlyS.median,0.45794815464781
PSMA3,PSMA7,earlyS.median,0.0109943022698305
PSMA3,PSMB1,earlyS.median,0.0157284625608764
PSMA3,PSMB10,earlyS.median,0.248738984718466
PSMA3,PSMB2,earlyS.median,-0.150063175028239
PSMA3,PSMB3,earlyS.median,-0.0228876481117439
PSMA3,PSMB4,earlyS.median,-0.164117779888311
PSMA3,PSMB5,earlyS.median,-0.378970892382341
PSMA3,PSMB6,earlyS.median,0.168614593027993
PSMA3,PSMB7,earlyS.median,-0.24444781166252
